wavelength,"(743, 898)","(745, 886)","(749, 881)","(755, 879)","(750, 877)","(746, 920)","(758, 915)","(743, 908)","(744, 931)","(747, 926)"
781.755,0.878484,0.921582,1.03464,0.903057,0.980726,0.923356,0.975933,0.879672,1.03407,0.868393
783.382,0.876632,0.94097,1.00867,0.892183,0.987599,0.928015,0.976034,0.878552,1.02835,0.873967
785.009,0.883432,0.941506,1.01332,0.909854,0.991831,0.921155,0.996423,0.881052,1.02469,0.887394
786.635,0.872292,0.953469,1.02343,0.912284,0.981346,0.937607,0.98451,0.871757,1.0118,0.876164
788.262,0.875105,0.960179,0.996672,0.901667,0.989134,0.927248,0.993508,0.861337,1.03105,0.884318
789.889,0.87915,0.933281,1.01614,0.919267,1.00365,0.927173,0.987808,0.87741,1.03313,0.887841
791.515,0.881329,0.939617,1.01296,0.897352,1.00728,0.949658,0.975947,0.880498,1.03327,0.889511
793.142,0.894532,0.940637,1.02674,0.934562,1.00396,0.932811,0.979652,0.892301,1.05121,0.891866
794.769,0.89486,0.956715,1.02214,0.914152,1.01445,0.937283,0.97498,0.893888,1.06743,0.915347
796.396,0.900908,0.947693,1.01503,0.908957,0.998772,0.940926,0.981975,0.91797,1.05385,0.880896
798.022,0.911051,0.966849,1.03263,0.921862,1.00795,0.936776,0.977804,0.895333,1.04682,0.904999
799.649,0.888278,0.963401,1.03398,0.920179,1.01441,0.953324,0.960722,0.911406,1.07078,0.892082
801.276,0.909852,0.956702,1.02667,0.911748,1.00271,0.942564,0.948519,0.891738,1.05174,0.893976
802.903,0.891736,0.951602,1.0358,0.927713,1.00116,0.939198,0.975563,0.898045,1.06402,0.891372
804.529,0.900514,0.94532,1.02061,0.910385,1.00236,0.942076,0.953712,0.910726,1.05381,0.907604
